Cavité :	Caf 225 Soleil Trompeur
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
	1	    -- -->  	  43.0 °	  -4.6 °		0.53								  -4.6 °	-0.04	0.53	0.53	855519.3	3309115.0	1421.3	62.0		

	1	    -- -->  	  26.5 °	  65.3 °		2.63								  65.3 °	2.39	2.63	1.10	855519.4	3309115.6	1423.8	62.6		

	1	->  1.2	  95.0 °	  59.8 °		3.91								  59.8 °	3.38	3.91	1.97	855520.9	3309114.4	1424.8	63.4		

	18	^   19	 287.4 °	 -27.3 °		3.08					0.7	2.4		 -27.3 °	-1.41	3.08	2.74	855505.6	3309112.4	1410.7	52.2		

	18	    -- -->  	 109.5 °	  85.5 °		1.30								  85.5 °	1.29	1.30	0.10	855508.2	3309111.5	1413.4	49.5		

	18	    -- -->  	  80.1 °	 -89.0 °		1.30								 -89.0 °	-1.30	1.30	0.02	855508.2	3309111.5	1410.8	49.5		

	18	    -- -->  	  28.4 °	  -2.0 °		0.42								  -2.0 °	-0.01	0.42	0.42	855508.4	3309111.9	1412.1	49.9		

	18	    -- -->  	 201.7 °	   8.6 °		0.46								   8.6 °	0.07	0.46	0.46	855508.0	3309111.1	1412.2	49.9		

	19	   20	 281.6 °	 -66.2 °		10.86				0.4	0.5	1.0		 -66.2 °	-9.94	10.86	4.38	855501.3	3309113.4	1400.8	56.6		

	19	    -- -->  	  37.3 °	  -3.0 °		0.78								  -3.0 °	-0.04	0.78	0.77	855506.0	3309113.0	1410.7	53.0		

	19	    -- -->  	 319.4 °	  74.6 °		2.44								  74.6 °	2.35	2.44	0.65	855505.1	3309112.9	1413.1	52.8		

	19	    -- -->  	 308.1 °	  -0.3 °		2.39								  -0.3 °	-0.01	2.39	2.39	855503.7	3309113.9	1410.7	54.6		

	20	   21	 297.8 °	 -13.2 °		3.44				1.5		2.2		 -13.2 °	-0.79	3.44	3.35	855498.3	3309115.0	1400.0	59.9		

	20	    -- -->  	 146.2 °	   5.6 °		0.63								   5.6 °	0.06	0.63	0.63	855501.6	3309112.8	1400.8	57.2		

	20	    -- -->  	  34.6 °	   1.6 °		0.50								   1.6 °	0.01	0.50	0.50	855501.6	3309113.8	1400.8	57.1		

	20	    -- -->  	 283.8 °	  71.8 °		1.09								  71.8 °	1.04	1.09	0.34	855500.9	3309113.4	1401.8	56.9		

	21	->  21-1	 201.7 °	 -73.1 °		6.16				1.6				 -73.1 °	-5.89	6.16	1.79	855497.6	3309113.3	1394.1	61.7		

	21-1	    -- -->  	   4.7 °	   7.1 °		0.59								   7.1 °	0.07	0.59	0.58	855497.7	3309113.9	1394.2	62.3		

	21-1	    -- -->  	 185.6 °	   7.7 °		0.35								   7.7 °	0.05	0.35	0.35	855497.6	3309113.0	1394.1	62.1		

	21-1	    -- -->  	 347.5 °	  79.0 °		1.09								  79.0 °	1.07	1.09	0.21	855497.6	3309113.5	1395.2	61.9		

	21	^   22	 268.2 °	 -36.3 °		2.99				0.3	0.6	1.1		 -36.3 °	-1.77	2.99	2.41	855495.9	3309114.9	1398.2	62.3		

	21	    -- -->  	 188.5 °	   1.4 °		1.54								   1.4 °	0.04	1.54	1.54	855498.1	3309113.4	1400.0	61.5		

	21	    -- -->  	 202.3 °	  77.2 °		2.22								  77.2 °	2.17	2.22	0.49	855498.1	3309114.5	1402.2	60.4		

Date du lever : 	20/02/2015	Déclinaison = 	1° 2'
Operateurs :	Clément Garnier	Martin Gerbaux
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	22	   1_37	i   89.0 °	i   28.0 °		3.70								 -28.0 °	-1.74	3.70	3.27	855492.7	3309114.9	1396.5	65.6		

	1_37	   1_38	i  114.0 °	i   11.0 °		2.60								 -11.0 °	-0.50	2.60	2.55	855490.4	3309116.0	1396.0	68.1		

	1_38	   1_39	i   96.0 °	i   35.0 °		6.00								 -35.0 °	-3.44	6.00	4.91	855485.5	3309116.6	1392.5	73.1		

	1_39	   1_40	i   63.0 °	i   51.0 °		6.30								 -51.0 °	-4.90	6.30	3.96	855481.9	3309114.9	1387.7	77.0		

	1_40	   1_41	i    0.0 °	i   90.0 °		11.30								 -90.0 °	-11.30	11.30		855481.9	3309114.9	1376.4	77.0		amarrage de déviation

	1_41	   1_42	i  119.0 °	i   58.8 °		3.90								 -58.8 °	-3.34	3.90	2.02	855480.2	3309115.9	1373.0	79.0		

	1_42	   1_43	i  206.0 °	i   35.0 °		2.40								 -35.0 °	-1.38	2.40	1.97	855481.1	3309117.6	1371.6	81.0		

	1_43	   1_44	i  104.8 °	i   23.0 °		2.70								 -23.0 °	-1.05	2.70	2.49	855478.7	3309118.3	1370.6	83.5		noeud d'ammarrage

	1_44	   1_45	i    0.0 °	i   90.0 °		9.10								 -90.0 °	-9.10	9.10		855478.7	3309118.3	1361.5	83.5		fond plat du P10

